id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year
335982,2007/08,BANGALORE,2008-04-18,League,BB MCCULLUM,M CHINNASWAMY STADIUM,ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,field,KOLKATA KNIGHT RIDERS,RUNS,140.0,223.0,20.0,N,NORMAL,Asad Rauf,RE Koertzen,2008
335983,2007/08,CHANDIGARH,2008-04-19,League,MEK HUSSEY,"PUNJAB CRICKET ASSOCIATION STADIUM, MOHALI",KINGS XI PUNJAB,CHENNAI SUPER KINGS,CHENNAI SUPER KINGS,bat,CHENNAI SUPER KINGS,RUNS,33.0,241.0,20.0,N,NORMAL,MR Benson,SL Shastri,2008
335984,2007/08,DELHI,2008-04-19,League,MF MAHAROOF,FEROZ SHAH KOTLA,DELHI DAREDEVILS,RAJASTHAN ROYALS,RAJASTHAN ROYALS,bat,DELHI DAREDEVILS,WICKETS,9.0,130.0,20.0,N,NORMAL,Aleem Dar,GA Pratapkumar,2008
335985,2007/08,MUMBAI,2008-04-20,League,MV BOUCHER,WANKHEDE STADIUM,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,bat,ROYAL CHALLENGERS BANGALORE,WICKETS,5.0,166.0,20.0,N,NORMAL,SJ Davis,DJ Harper,2008
335986,2007/08,KOLKATA,2008-04-20,League,DJ HUSSEY,EDEN GARDENS,KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,DECCAN CHARGERS,bat,KOLKATA KNIGHT RIDERS,WICKETS,5.0,111.0,20.0,N,NORMAL,BF Bowden,K Hariharan,2008
335987,2007/08,JAIPUR,2008-04-21,League,SR WATSON,SAWAI MANSINGH STADIUM,RAJASTHAN ROYALS,KINGS XI PUNJAB,KINGS XI PUNJAB,bat,RAJASTHAN ROYALS,WICKETS,6.0,167.0,20.0,N,NORMAL,Aleem Dar,RB Tiffin,2008
335988,2007/08,HYDERABAD,2008-04-22,League,V SEHWAG,"RAJIV GANDHI INTERNATIONAL STADIUM, UPPAL",DECCAN CHARGERS,DELHI DAREDEVILS,DECCAN CHARGERS,bat,DELHI DAREDEVILS,WICKETS,9.0,143.0,20.0,N,NORMAL,IL Howell,AM Saheba,2008
335989,2007/08,CHENNAI,2008-04-23,League,ML HAYDEN,"MA CHIDAMBARAM STADIUM, CHEPAUK",CHENNAI SUPER KINGS,MUMBAI INDIANS,MUMBAI INDIANS,field,CHENNAI SUPER KINGS,RUNS,6.0,209.0,20.0,N,NORMAL,DJ Harper,GA Pratapkumar,2008
335990,2007/08,HYDERABAD,2008-04-24,League,YK PATHAN,"RAJIV GANDHI INTERNATIONAL STADIUM, UPPAL",DECCAN CHARGERS,RAJASTHAN ROYALS,RAJASTHAN ROYALS,field,RAJASTHAN ROYALS,WICKETS,3.0,215.0,20.0,N,NORMAL,Asad Rauf,MR Benson,2008
335991,2007/08,CHANDIGARH,2008-04-25,League,KC SANGAKKARA,"PUNJAB CRICKET ASSOCIATION STADIUM, MOHALI",KINGS XI PUNJAB,MUMBAI INDIANS,MUMBAI INDIANS,field,KINGS XI PUNJAB,RUNS,66.0,183.0,20.0,N,NORMAL,Aleem Dar,AM Saheba,2008
335992,2007/08,BANGALORE,2008-04-26,League,SR WATSON,M CHINNASWAMY STADIUM,ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,RAJASTHAN ROYALS,field,RAJASTHAN ROYALS,WICKETS,7.0,136.0,20.0,N,NORMAL,MR Benson,IL Howell,2008
335993,2007/08,CHENNAI,2008-04-26,League,JDP ORAM,"MA CHIDAMBARAM STADIUM, CHEPAUK",CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,KOLKATA KNIGHT RIDERS,bat,CHENNAI SUPER KINGS,WICKETS,9.0,148.0,20.0,N,NORMAL,BF Bowden,AV Jayaprakash,2008
335994,2007/08,MUMBAI,2008-04-27,League,AC GILCHRIST,DR DY PATIL SPORTS ACADEMY,MUMBAI INDIANS,DECCAN CHARGERS,DECCAN CHARGERS,field,DECCAN CHARGERS,WICKETS,10.0,155.0,20.0,N,NORMAL,Asad Rauf,SL Shastri,2008
335995,2007/08,CHANDIGARH,2008-04-27,League,SM KATICH,"PUNJAB CRICKET ASSOCIATION STADIUM, MOHALI",KINGS XI PUNJAB,DELHI DAREDEVILS,DELHI DAREDEVILS,bat,KINGS XI PUNJAB,WICKETS,4.0,159.0,20.0,N,NORMAL,RE Koertzen,I Shivram,2008
335996,2007/08,BANGALORE,2008-04-28,League,MS DHONI,M CHINNASWAMY STADIUM,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,CHENNAI SUPER KINGS,bat,CHENNAI SUPER KINGS,RUNS,13.0,179.0,20.0,N,NORMAL,BR Doctrove,RB Tiffin,2008
335997,2007/08,KOLKATA,2008-04-29,League,ST JAYASURIYA,EDEN GARDENS,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,bat,MUMBAI INDIANS,WICKETS,7.0,138.0,20.0,N,NORMAL,BF Bowden,AV Jayaprakash,2008
335998,2007/08,DELHI,2008-04-30,League,GD MCGRATH,FEROZ SHAH KOTLA,DELHI DAREDEVILS,ROYAL CHALLENGERS BANGALORE,ROYAL CHALLENGERS BANGALORE,field,DELHI DAREDEVILS,RUNS,10.0,192.0,20.0,N,NORMAL,Aleem Dar,I Shivram,2008
335999,2007/08,HYDERABAD,2008-05-01,League,SE MARSH,"RAJIV GANDHI INTERNATIONAL STADIUM, UPPAL",DECCAN CHARGERS,KINGS XI PUNJAB,KINGS XI PUNJAB,field,KINGS XI PUNJAB,WICKETS,7.0,165.0,20.0,N,NORMAL,BR Doctrove,RB Tiffin,2008
