player,role
Basil Thampi,bowler
Umar Gul,bowler
RJ Gleeson,bowler
UT Yadav,bowler
A Manohar,batsman
R Dravid,batsman
R Rampaul,bowler
K Khejroliya,bowler
GR Napier,allrounder
GJ Maxwell,allrounder
JL Pattinson,bowler
M Markande,bowler
UT Khawaja,batsman
SB Bangar,allrounder
S Rana,batsman
KS Bharat,batsman
SR Watson,allrounder
KK Nair,batsman
L Balaji,bowler
Abdul Basith,batsman
LH Ferguson,bowler
RJ Peterson,allrounder
KK Cooper,bowler
CR Brathwaite,allrounder
KK Ahmed,bowler
A Nortje,bowler
Mukesh Choudhary,bowler
I Udana,bowler
M Klinger,batsman
CH Gayle,batsman
NL McCullum,allrounder
SA Yadav,batsman
MJ Lumb,batsman
AC Blizzard,batsman
D Ferreira,batsman
JD Ryder,allrounder
V Shankar,batsman
AG Murtaza,bowler
Tanush Kotian,batsman
D Pretorius,bowler
RA Jadeja,allrounder
DJ Harris,batsman
PBB Rajapaksa,batsman
V Viyaskanth,bowler
CRD Fernando,bowler
J Syed Mohammad,bowler
Sameer Rizvi,batsman
MC Henriques,allrounder
DL Vettori,bowler
MJ Guptill,batsman
P Dogra,batsman
AJ Tye,bowler
Ravi Bishnoi,bowler
AC Thomas,bowler
JJ Roy,batsman
VVS Laxman,batsman
Akash Singh,bowler
S Kaushik,bowler
KR Mayers,batsman
AD Nath,batsman
AR Bawne,batsman
SPD Smith,batsman
Arjun Tendulkar,bowler
JJ Bumrah,bowler
Noor Ahmad,bowler
Vijaykumar Vyshak,bowler
RK Bhui,batsman
RV Uthappa,batsman
M Kaif,batsman
MG Bracewell,allrounder
AS Yadav,batsman
MA Agarwal,batsman
Sanvir Singh,batsman
CL White,batsman
IK Pathan,allrounder
M Shahrukh Khan,batsman
Y Venugopal Rao,batsman
Sunny Singh,batsman
RA Tripathi,batsman
S Vidyut,batsman
AT Rayudu,batsman
Harshit Rana,bowler
NJ Maddinson,batsman
Simarjeet Singh,bowler
WPUJC Vaas,bowler
Azmatullah Omarzai,bowler
C Sakariya,bowler
DS Kulkarni,bowler
Abhishek Sharma,batsman
AP Majumdar,batsman
SB Joshi,bowler
S Dhawan,batsman
N Rana,batsman
A Dananjaya,bowler
RJ Harris,bowler
RJW Topley,bowler
