match_id,bowler,team,next_match_wkts,balls,runs_conceded,economy,wkts_last5,eco_last5
548352,A Ashish Reddy,Deccan Chargers,1,13,16,7.384615384615385,1.0,8.940832851359167
548356,A Ashish Reddy,Deccan Chargers,1,25,36,8.639999999999999,1.2,7.768832851359167
548359,A Ashish Reddy,Deccan Chargers,2,25,40,9.6,1.2,8.088832851359168
548373,A Ashish Reddy,Deccan Chargers,0,12,17,8.5,1.0,8.845975708502024
548376,A Ashish Reddy,Deccan Chargers,3,25,25,6.0,1.4,8.024923076923077
598000,A Ashish Reddy,Sunrisers Hyderabad,1,12,21,10.5,1.4,8.648
598004,A Ashish Reddy,Sunrisers Hyderabad,1,6,7,7.0,1.4,8.32
598013,A Ashish Reddy,Sunrisers Hyderabad,1,12,15,7.5,1.2,7.9
598030,A Ashish Reddy,Sunrisers Hyderabad,0,5,15,18.0,1.2,9.8
598048,A Ashish Reddy,Sunrisers Hyderabad,0,6,13,13.0,0.6,11.2
829719,A Ashish Reddy,Sunrisers Hyderabad,1,6,11,11.0,0.6,11.3
829727,A Ashish Reddy,Sunrisers Hyderabad,0,6,5,5.0,0.4,10.9
829731,A Ashish Reddy,Sunrisers Hyderabad,1,13,16,7.384615384615385,0.4,10.876923076923077
829773,A Ashish Reddy,Sunrisers Hyderabad,2,12,19,9.5,0.8,9.176923076923078
980907,A Ashish Reddy,Sunrisers Hyderabad,0,11,26,14.181818181818182,0.8,9.413286713286713
980915,A Ashish Reddy,Sunrisers Hyderabad,1,12,14,7.0,0.8,8.613286713286714
1426295,A Badoni,Lucknow Super Giants,0,6,19,19.0,0.4,7.4
598014,A Chandila,Rajasthan Royals,0,18,14,4.666666666666667,1.0,6.4833333333333325
598019,A Chandila,Rajasthan Royals,2,12,8,4.0,1.4,5.833333333333334
598023,A Chandila,Rajasthan Royals,0,24,21,5.25,0.6,6.233333333333333
598026,A Chandila,Rajasthan Royals,1,18,16,5.333333333333333,0.6,6.25
598032,A Chandila,Rajasthan Royals,2,18,13,4.333333333333333,1.0,4.716666666666667
598036,A Chandila,Rajasthan Royals,0,24,39,9.75,1.0,5.7333333333333325
598047,A Chandila,Rajasthan Royals,0,12,23,11.5,0.6,7.2333333333333325
598052,A Chandila,Rajasthan Royals,1,24,24,6.0,0.8,7.383333333333333
1082636,A Choudhary,Royal Challengers Bangalore,1,17,19,6.705882352941176,1.0,7.884319327731092
336012,A Kumble,Royal Challengers Bangalore,0,24,45,11.25,0.4,8.41630303030303
336016,A Kumble,Royal Challengers Bangalore,0,25,40,9.6,0.4,9.28030303030303
336023,A Kumble,Royal Challengers Bangalore,1,24,34,8.5,0.4,9.30030303030303
336026,A Kumble,Royal Challengers Bangalore,2,24,18,4.5,0.8,8.236666666666668
336029,A Kumble,Royal Challengers Bangalore,3,24,15,3.75,1.2,7.5200000000000005
336034,A Kumble,Royal Challengers Bangalore,0,25,47,11.28,1.2,7.525999999999999
392182,A Kumble,Royal Challengers Bangalore,5,19,6,1.8947368421052633,2.2,5.984947368421052
392185,A Kumble,Royal Challengers Bangalore,0,25,26,6.239999999999999,2.0,5.532947368421052
392188,A Kumble,Royal Challengers Bangalore,0,24,39,9.75,1.6,6.582947368421053
392191,A Kumble,Royal Challengers Bangalore,1,24,19,4.75,1.2,6.782947368421053
392194,A Kumble,Royal Challengers Bangalore,0,24,22,5.5,1.2,5.626947368421052
392199,A Kumble,Royal Challengers Bangalore,2,24,17,4.25,0.6,6.098
392204,A Kumble,Royal Challengers Bangalore,2,24,25,6.25,1.0,6.1
392208,A Kumble,Royal Challengers Bangalore,0,12,18,9.0,1.0,5.95
392213,A Kumble,Royal Challengers Bangalore,1,12,12,6.0,1.0,6.2
392218,A Kumble,Royal Challengers Bangalore,0,24,32,8.0,1.0,6.7
392221,A Kumble,Royal Challengers Bangalore,1,24,28,7.0,0.8,7.25
392224,A Kumble,Royal Challengers Bangalore,2,24,12,3.0,0.8,6.6
392232,A Kumble,Royal Challengers Bangalore,2,26,24,5.538461538461539,1.2,5.907692307692308
392236,A Kumble,Royal Challengers Bangalore,2,24,24,6.0,1.4,5.907692307692308
392238,A Kumble,Royal Challengers Bangalore,0,24,31,7.75,1.4,5.857692307692308
392239,A Kumble,Royal Challengers Bangalore,4,24,18,4.5,2.0,5.357692307692308
419109,A Kumble,Royal Challengers Bangalore,0,24,19,4.75,1.6,5.707692307692308
419112,A Kumble,Royal Challengers Bangalore,0,25,40,9.6,1.2,6.519999999999999
419115,A Kumble,Royal Challengers Bangalore,5,23,10,2.608695652173913,1.8,5.8417391304347825
419119,A Kumble,Royal Challengers Bangalore,1,24,20,5.0,2.0,5.291739130434783
419123,A Kumble,Royal Challengers Bangalore,1,24,19,4.75,1.4,5.3417391304347825
419128,A Kumble,Royal Challengers Bangalore,0,24,30,7.5,1.4,5.891739130434782
419133,A Kumble,Royal Challengers Bangalore,1,24,18,4.5,1.6,4.871739130434783
419136,A Kumble,Royal Challengers Bangalore,1,25,33,7.919999999999999,0.8,5.933999999999999
419140,A Kumble,Royal Challengers Bangalore,1,24,33,8.25,0.8,6.5840000000000005
419145,A Kumble,Royal Challengers Bangalore,1,25,38,9.12,0.8,7.458
419148,A Kumble,Royal Challengers Bangalore,1,25,18,4.319999999999999,1.0,6.822
419151,A Kumble,Royal Challengers Bangalore,1,25,27,6.4799999999999995,1.0,7.217999999999999
419154,A Kumble,Royal Challengers Bangalore,0,25,29,6.959999999999999,0.8,7.025999999999999
